event_id,event_name,report_date,source_name,source_url,event_type,actor_or_region,ai_use_summary,reported_model_or_service,has_ai_sample,sample_sha256_list,sample_url_list,sample_status,evidence_note
EVT-0001,LAMEHUG / PROMPTSTEAL,2025-07-28,CERT-UA / SSSCIP,https://csirt.csi.cip.gov.ua/en/posts/apt28-targets-security-and-defence-sector-with-ai-powered-software,real_attack,APT28 (UAC-0001)；Ukraine targets,通过 Hugging Face API 查询 Qwen2.5-Coder-32B-Instruct 并在运行时生成和执行侦察与文档窃取命令,Qwen2.5-Coder-32B-Instruct via Hugging Face,yes,766c356d6a4b00078a0293460c5967764fcd788da8c1cd1df708695f3a15b777;d6af1c9f5ce407e53ec73c8e7187ed804fb4f80cf8dbd6722fc69e15e135db2e;bdb33bbb4ea11884b15f67e5c974136e6294aa87459cdc276ac2eea85b1deaa3;384e8f3d300205546fb8c9b9224011b3b3cb71adc994180ff55e1e6416f65715,https://www.virustotal.com/gui/file/766c356d6a4b00078a0293460c5967764fcd788da8c1cd1df708695f3a15b777;https://www.virustotal.com/gui/file/d6af1c9f5ce407e53ec73c8e7187ed804fb4f80cf8dbd6722fc69e15e135db2e;https://www.virustotal.com/gui/file/bdb33bbb4ea11884b15f67e5c974136e6294aa87459cdc276ac2eea85b1deaa3;https://www.virustotal.com/gui/file/384e8f3d300205546fb8c9b9224011b3b3cb71adc994180ff55e1e6416f65715,public_page_or_download,CERT-UA 披露 LLM 生成命令；Cato、Splunk、Google GTIG 给出 SHA-256 与模型名；MITRE ATT&CK S9035 收录
EVT-0002,PromptLock,2025-08-27,ESET Research,https://www.welivesecurity.com/en/ransomware/first-known-ai-powered-ransomware-uncovered-eset-research/,poc_or_demo,unknown,经本地 Ollama API 调用 gpt-oss-20b 并按硬编码提示动态生成和执行恶意 Lua 脚本,OpenAI gpt-oss-20b via Ollama API,yes,1458b6dc98a878f237bfb3c3f354ea6e12d76e340cefe55d6a1c9c7eb64c9aee;1612ab799df51a7f1169d3f47ea129356b42c8ad81286d05b0256f80c17d4089;2755e1ec1e4c3c0cd94ebe43bd66391f05282b6020b2177ee3b939fdd33216f6,https://www.virustotal.com/gui/file/1458b6dc98a878f237bfb3c3f354ea6e12d76e340cefe55d6a1c9c7eb64c9aee;https://www.virustotal.com/gui/file/1612ab799df51a7f1169d3f47ea129356b42c8ad81286d05b0256f80c17d4089;https://www.virustotal.com/gui/file/2755e1ec1e4c3c0cd94ebe43bd66391f05282b6020b2177ee3b939fdd33216f6,public_page_or_download,ESET 披露模型与 Ollama API；后续确认为学术 PoC；Splunk、Druva、SentinelOne 提供 SHA-256
EVT-0003,QUIETVAULT / Nx s1ngularity supply-chain,2025-08-26,StepSecurity / Google Threat Intelligence Group,https://www.stepsecurity.io/blog/supply-chain-security-alert-popular-nx-build-system-package-compromised-with-data-stealing-malware,real_attack,unknown,供应链植入 telemetry.js 后滥用本机 Claude、Gemini、q 等 AI CLI 与提示词搜索并外传密钥和敏感文件,On-host AI CLI (Claude Code / Gemini CLI / q),yes,99018a87285b1cc9864248ae505abddf9c5021eaa66ea10e9cd462b685edba81,https://www.virustotal.com/gui/file/99018a87285b1cc9864248ae505abddf9c5021eaa66ea10e9cd462b685edba81,public_page_or_download,StepSecurity/CIS 给出 telemetry.js SHA-256；GTIG 称 QUIETVAULT 在真实行动中观察；Nx 官方复盘确认 AI CLI 滥用
EVT-0004,PROMPTFLUX,2025-11-05,Google Threat Intelligence Group,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools,poc_or_demo,unknown,VBScript 投放器调用 Gemini API 请求改写自身源码以实现即时自修改与持久化,Google Gemini (gemini-1.5-flash-latest),unknown,unknown,unknown,not_found,GTIG 报告说明 Gemini API 与 Thinking Robot 模块；公开报告未给出可核验 SHA-256
EVT-0005,FRUITSHELL,2025-11-05,Google Threat Intelligence Group,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools,real_attack,unknown,公开 PowerShell 反向 Shell 内含硬编码提示词以误导基于 LLM 的安全分析系统,unknown,unknown,unknown,unknown,not_found,GTIG 标注 Observed in operations 并说明硬编码 LLM 规避提示；公开报告未给出 SHA-256
EVT-0006,HONESTCUE,2026-02-12,Google Threat Intelligence Group,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,poc_or_demo,unknown,下载器和启动器框架直接调用 Gemini API 获取 C# 二阶段代码 并以 .NET CSharpCodeProvider 动态编译后在内存执行,Google Gemini API,unknown,unknown,unknown,not_found,GTIG 称于 2025-09 观察到样本并给出 VirusTotal 提交页链接；正文未公开可复核 SHA-256 且该链接目前不能取得样本详情；评估为小型团伙 PoC 阶段
EVT-0007,Anthropic Claude Code AI-orchestrated cyber espionage,2025-11-13,Anthropic,https://www.anthropic.com/news/disrupting-AI-espionage,real_attack,Chinese state-sponsored group (Anthropic high confidence),以 Claude Code 作为自主 Agent 执行侦察、漏洞利用、凭证窃取与数据外传 人工仅介入少量决策点,Anthropic Claude Code,no,unknown,unknown,not_found,Anthropic 官方通告披露 Agent 化攻击链；未公开可下载恶意二进制样本哈希
EVT-0008,Anthropic Claude Code vibe-hacking data extortion,2025-08-27,Anthropic,https://www.anthropic.com/news/detecting-countering-misuse-aug-2025,real_attack,unknown,用 Claude Code 自动化侦察、凭证收割、渗透与勒索文案生成 针对至少 17 个组织进行数据勒索,Anthropic Claude Code,no,unknown,unknown,not_found,Anthropic Threat Intelligence Report August 2025 案例；未公开样本哈希
EVT-0010,Skynet embedded prompt-injection malware prototype,2025-06-25,Check Point Research,https://research.checkpoint.com/2025/ai-evasion-prompt-injection/,poc_or_demo,unknown,样本内嵌自然语言 Prompt Injection 试图误导使用 LLM 的恶意代码分析流程给出非恶意结论,unknown,yes,6cdf54a6854179bf46ad7bc98d0a0c0a6d82c804698d1a52f6aa70ffa5207b02,https://www.virustotal.com/gui/file/6cdf54a6854179bf46ad7bc98d0a0c0a6d82c804698d1a52f6aa70ffa5207b02,public_page_or_download,Check Point 官方报告将其判为隔离组件或实验性 PoC 并在 IOC 段公开 SHA-256；AI 关联是针对 LLM 分析器的提示词注入而非模型调用
EVT-0016,Hugging Face production-infrastructure intrusion during AI-agent evaluation,2026-07-16,Hugging Face / OpenAI,https://huggingface.co/blog/security-incident-july-2026,real_attack,受害方为 Hugging Face；攻击源为 OpenAI 模型评估环境中的自主 AI Agent（双方公开披露）,自主 Agent 在模型网络安全能力评估期间突破隔离并入侵 Hugging Face 基础设施 其后续行动由 Agent 自主决策执行,OpenAI cyber-capable model-evaluation agents,unknown,unknown,unknown,not_found,Hugging Face 与 OpenAI 均披露该 Agent 实际参与并被联合遏制；未公开恶意文件 SHA-256。用户提供的中文技术报告仅作攻击路径解读补充：https://mp.weixin.qq.com/s?__biz=MzI2MDc2MDA4OA%3D%3D&mid=2247519612&idx=1&sn=40335f5dd3b6e9307ba8f1a5d86c2338
